First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Cynthia,Female,11/16/1988,6:54 PM,145146.0,7.482,True,Product
Roger,Male,4/17/1980,11:32 AM,88010.0,13.886,True,Sales
Bruce,Male,11/28/2009,10:47 PM,114796.0,6.796,False,Finance
Kathy,Female,6/22/2005,4:51 AM,66820.0,9.0,True,Client Services
Clarence,Male,3/26/1996,5:57 AM,93581.0,6.083,True,Business Development
Chris,Female,1/24/1980,12:13 PM,113590.0,3.055,False,Sales
Nancy,Female,9/23/2000,8:05 AM,94976.0,13.83,True,Engineering
Marilyn,Female,12/17/2011,8:29 AM,41126.0,14.009,True,Sales
Todd,Male,2/18/1990,2:41 AM,49339.0,1.695,True,Human Resources
Alan,Female,03-03-2014,1:28 PM,40341.0,17.578,True,Finance
Sara,Female,8/15/2007,9:23 AM,83677.0,8.999,False,Engineering
Karen,Female,11/30/1999,7:46 AM,102488.0,17.653,True,Product
Carl,Male,05-03-2006,5:55 PM,130276.0,16.084,True,Finance
Henry,Male,6/26/1996,1:44 AM,64715.0,15.107,True,Human Resources
Theresa,Female,04-11-2010,7:18 AM,72670.0,1.481,True,Engineering
Irene,Female,05-07-1997,9:32 AM,66851.0,11.279,False,Engineering
Paula,Female,11/23/2005,2:01 PM,48866.0,4.271,False,Distribution
Denise,Female,11-06-2001,12:03 PM,106862.0,3.699,False,Business Development
Marilyn,Female,06-12-2007,5:25 PM,58112.0,19.414,True,Marketing
Matthew,Male,01-02-2013,10:33 PM,35203.0,18.04,False,Human Resources
Kathleen,Female,04-11-1990,6:46 PM,77834.0,18.771,False,Business Development
Steve,Male,11-11-2009,11:44 PM,61310.0,12.428,True,Distribution
Nancy,Female,12/15/2012,11:57 PM,125250.0,2.672,True,Business Development
Rachel,Female,8/16/1999,6:53 AM,51178.0,9.735,True,Finance
Jose,Male,10/30/2004,1:39 PM,84834.0,14.33,True,Finance
Irene,Female,7/14/2015,4:31 PM,100863.0,4.382,True,Finance
Todd,Female,06-10-2003,2:26 PM,84692.0,6.617,False,Client Services
Johnny,Male,11-06-2009,4:23 PM,118172.0,16.194,True,Sales
Bobby,Male,05-07-2007,10:01 AM,54043.0,3.833,False,Product
Frances,Female,04-04-1999,4:19 PM,90582.0,4.709,True,Sales
Thomas,Male,06-04-1995,2:24 PM,62096.0,17.029,False,Marketing
Bonnie,Female,07-02-1991,1:27 AM,104897.0,5.118,True,Human Resources
Margaret,Female,09-10-1988,12:42 PM,131604.0,7.353,True,Distribution
Charles,Male,9/14/2004,8:13 PM,107391.0,1.26,True,Marketing
Robin,Female,06-04-1983,3:15 PM,114797.0,5.965,True,Sales
Bonnie,Female,11/13/1988,3:30 PM,115814.0,4.99,False,Product
Gerald,Female,3/17/1995,12:50 AM,137126.0,15.602,True,Sales
Christopher,Male,3/30/2008,10:52 AM,47369.0,14.822,False,Legal
Steven,Male,3/30/1980,9:20 PM,35095.0,8.379,True,Client Services
Shawn,Male,9/23/2005,2:55 AM,148115.0,6.539,True,Finance
Doris,Female,8/20/2004,5:51 AM,83072.0,7.511,False,Finance
Jeremy,Male,02-01-2008,8:50 AM,100238.0,3.887,True,Client Services
Annie,Female,9/29/2007,12:11 AM,103495.0,17.29,True,Business Development
Annie,Female,1/30/1993,2:05 AM,144887.0,8.276,True,Sales
Donna,Female,11/27/1991,1:59 PM,64088.0,6.155,True,Legal
Janice,Female,03-12-2016,12:40 AM,51082.0,11.955,False,Legal
Janice,Female,8/21/1997,5:12 AM,91719.0,11.583,True,Legal
James,Female,1/26/2005,11:00 PM,128771.0,8.309,False,Client Services
Linda,Female,5/25/2000,5:45 PM,119009.0,12.506,True,Business Development
Virginia,Female,05-07-1994,5:58 PM,111858.0,1.601,True,Legal
Harry,Male,8/26/1981,3:16 PM,130620.0,7.03,False,Legal
Heather,Female,07-11-1998,2:17 PM,43026.0,14.166,False,Client Services
Cynthia,Female,3/21/1994,8:34 AM,142321.0,1.737,False,Finance
Laura,Female,7/19/2014,9:23 PM,140371.0,10.62,True,Marketing
Tina,Female,6/16/2016,7:47 PM,100705.0,16.961,True,Marketing
Harold,Male,01-02-1985,9:40 PM,77544.0,12.447,False,Business Development
Melissa,Female,6/21/2005,6:33 AM,48109.0,14.995,False,Finance
Aaron,Male,2/17/2012,10:20 AM,61602.0,11.849,True,Marketing
Jack,Male,01-12-1997,5:51 AM,103902.0,12.159,False,Client Services
Phyllis,Female,10-11-1996,9:30 PM,136984.0,8.932,True,Finance
John,Male,12/23/1989,7:01 AM,80740.0,19.305,False,Marketing
Kathy,Female,03-09-1996,4:33 AM,91712.0,8.567,False,Finance
Paul,Male,08-04-1993,7:25 PM,42146.0,3.046,False,Legal
Steven,Male,4/23/2013,10:12 PM,68680.0,16.565,False,Legal
Russell,Female,05-05-1988,7:57 AM,133980.0,12.396,True,Legal
Christopher,Male,4/22/2000,10:15 AM,37919.0,11.449,False,Client Services
Shirley,Female,6/20/2001,10:39 PM,147113.0,16.135,False,Legal
Bonnie,Female,12/17/1999,3:12 PM,42153.0,8.454,True,Business Development
Willie,Male,11/27/2003,6:21 AM,64363.0,4.023,False,Marketing
Tina,Female,06-12-2009,7:16 AM,114767.0,3.711,True,Engineering
Ashley,Female,08-04-2002,11:00 AM,58698.0,6.811,True,Business Development
Pamela,Female,07-01-1982,6:51 AM,54585.0,4.166,False,Product
Marilyn,Male,6/22/1991,8:58 PM,76189.0,18.988,True,Legal
Steven,Male,03-01-1995,3:03 PM,109095.0,9.494,False,Finance
Andrea,Female,01-12-2012,5:43 AM,120204.0,9.557,False,Business Development
Paul,Male,06-03-2008,3:05 PM,41054.0,12.299,False,Marketing
Peter,Male,11/17/1994,6:15 PM,84885.0,15.402,False,Business Development
Kathleen,Female,05-09-2016,8:55 AM,119735.0,18.74,False,Product
Christina,Female,4/13/2012,2:04 PM,110169.0,13.892,True,Engineering
Helen,Female,11/29/2001,2:30 AM,73789.0,14.841,True,Product
Marilyn,Female,11/16/1983,8:29 AM,76078.0,2.401,True,Product
Patricia,Female,09-01-2003,6:46 AM,49368.0,14.226,False,Human Resources
Michelle,Female,3/30/1984,6:43 PM,57325.0,17.179,True,Human Resources
William,Male,9/29/2002,4:09 PM,66521.0,5.83,False,Human Resources
Kenneth,Male,8/25/1987,9:16 PM,127654.0,16.439,True,Client Services
Antonio,Male,10/25/1988,1:50 PM,60866.0,13.101,True,Business Development
Shirley,Female,05-01-1984,1:15 PM,41334.0,6.219,True,Human Resources
Rebecca,Female,07-10-1992,12:23 AM,94231.0,17.517,False,Product
Carlos,Male,01-04-1995,7:02 AM,146670.0,10.763,False,Human Resources
Lois,Female,12/25/1987,4:16 PM,106317.0,2.235,True,Client Services
Carolyn,Female,04-09-2011,5:38 AM,109260.0,2.65,True,Business Development
Gloria,Female,6/29/2007,5:34 AM,134148.0,8.833,True,Legal
Henry,Male,4/24/1995,4:18 AM,43542.0,19.687,False,Legal
Adam,Male,5/21/2011,1:45 AM,95327.0,15.12,False,Distribution
Ashley,Female,5/25/2006,11:30 AM,112238.0,6.03,True,Engineering
Marilyn,Female,10-03-1990,1:08 AM,132373.0,10.527,True,Client Services
Shirley,Female,2/28/1981,1:23 PM,113850.0,1.854,False,Marketing
Adam,Male,12/24/1990,8:57 PM,110194.0,14.727,True,Product
Elizabeth,Female,10-09-2003,5:53 PM,146129.0,5.687,False,Finance
Teresa,Female,1/28/2016,10:55 AM,140013.0,8.689,True,Engineering
Nicole,Female,03-05-1982,2:28 PM,122717.0,12.452,False,Sales
Jennifer,Female,04-04-2009,10:47 PM,71715.0,13.079,True,Client Services
Patricia,Female,11/25/1992,2:24 AM,95322.0,4.15,False,Product
Philip,Male,7/17/2008,1:30 PM,89227.0,3.996,False,Legal
Patrick,Female,7/14/1991,2:24 AM,124488.0,14.837,True,Sales
Marilyn,Female,8/17/2014,2:00 PM,86230.0,8.578,True,Distribution
Sean,Male,05-04-1996,8:59 PM,135490.0,19.934,False,Marketing
Brandon,Female,11-03-1997,8:17 PM,121333.0,15.295,False,Business Development
Ruth,Female,8/19/1999,4:03 AM,129297.0,8.067,True,Client Services
Victor,Female,03-10-2011,8:40 PM,84546.0,10.489,True,Finance
Rebecca,Female,11/15/1980,4:13 AM,85730.0,5.359,True,Product
Marie,Female,3/16/2003,12:12 AM,104058.0,17.695,True,Business Development
Howard,Male,4/27/1992,1:10 AM,105062.0,1.563,False,Human Resources
Marilyn,Female,7/27/2005,8:32 AM,79536.0,14.443,True,Product
Norma,Female,2/28/1999,8:45 PM,114412.0,8.756,True,Marketing
James,Female,11/22/1983,10:52 PM,68501.0,14.316,False,Marketing
Kathy,Female,3/18/2000,7:26 PM,149563.0,16.991,True,Finance
Marilyn,Female,8/22/1999,9:09 AM,103386.0,11.451,False,Distribution
Arthur,Male,4/13/1998,11:28 AM,89786.0,14.422,True,Legal
Terry,Male,09-03-1990,9:15 PM,52226.0,19.135,False,Client Services
Mary,Female,8/13/1999,1:03 AM,134645.0,18.197,False,Business Development
Marilyn,Female,3/23/2014,1:28 PM,59148.0,9.061,True,Legal
Marilyn,Female,07-09-1991,6:52 PM,42341.0,7.014,True,Sales
Christopher,Male,12/24/2011,12:22 PM,142178.0,17.984,True,Sales
Peter,Female,09-03-1987,5:59 PM,38989.0,7.017,True,Marketing
Michelle,Female,11-04-1996,9:34 PM,53754.0,5.455,True,Product
Irene,Female,1/29/1992,11:36 AM,133772.0,19.02,True,Sales
Patrick,Male,8/17/2007,3:16 AM,143499.0,17.495,True,Engineering
Sara,Female,9/23/1991,6:17 PM,97058.0,9.402,False,Finance
Lillian,Female,12/21/2008,6:51 PM,85446.0,3.959,True,Engineering
Marilyn,Female,9/18/2007,6:59 PM,40297.0,6.185,True,Client Services
Willie,Male,2/17/1998,8:20 PM,146651.0,1.451,True,Engineering
Victor,Male,01-08-2003,1:02 PM,124486.0,10.166,False,Product
Wayne,Male,04-07-2012,8:00 AM,102652.0,14.085,True,Distribution
Jane,Female,09-03-1997,2:01 AM,144474.0,17.648,False,Product
Jessica,Female,10/23/1995,5:53 AM,68759.0,19.343,True,Finance
Mark,Male,04-12-2008,5:40 PM,57286.0,5.025,True,Business Development
Randy,Male,11/14/1999,12:12 PM,58129.0,1.952,True,Distribution
Lillian,Female,6/19/1999,4:44 PM,123940.0,12.184,True,Business Development
Ruth,Female,5/18/1999,5:56 AM,98233.0,2.518,True,Distribution
Jerry,Male,12/18/2003,6:46 AM,140810.0,9.177,True,Client Services
Sandra,Female,1/19/1983,7:25 AM,42090.0,8.842,True,Legal
Marilyn,Female,2/23/2005,9:50 PM,149654.0,1.825,True,Sales
Roger,Male,11/19/2004,3:55 PM,51430.0,6.46,False,Marketing
Charles,Male,10/14/2000,9:40 PM,71749.0,15.931,False,Legal
Clarence,Male,05-02-1998,3:16 AM,85700.0,1.215,False,Sales
Carol,Female,3/19/1996,3:39 AM,57783.0,9.129,False,Finance
Lois,Female,10/18/2013,4:51 PM,36946.0,6.652,False,Engineering
Barbara,Female,05-03-2003,7:32 PM,99326.0,16.475,True,Legal
Rebecca,Female,2/18/1995,6:50 AM,109259.0,4.443,True,Legal
Irene,Female,1/30/2004,8:25 PM,131038.0,8.996,False,Distribution
Ronald,Male,4/30/2014,2:19 PM,121068.0,12.757,True,Product
Steven,Male,11-10-1985,10:53 AM,62719.0,19.127,False,Client Services
Carolyn,Female,11-06-2012,3:51 AM,69268.0,3.031,False,Client Services
Maria,Female,12/27/1990,9:57 PM,36067.0,9.64,True,Product
Jonathan,Male,7/17/2009,8:15 AM,130581.0,16.736,True,Client Services
Gary,Male,08-12-1987,12:04 AM,89661.0,8.525,False,Finance
Kimberly,Female,7/15/1997,5:57 AM,36643.0,7.953,False,Marketing
Roger,Male,11-08-1982,2:32 AM,140558.0,5.084,True,Sales
Diana,Female,01-04-2013,7:53 AM,103521.0,2.784,True,Business Development
Willie,Male,06-06-2006,9:45 AM,55281.0,4.935,True,Marketing
Brandon,Male,3/27/2006,5:54 PM,115711.0,8.012,True,Finance
Patricia,Female,12-06-2012,4:01 AM,114079.0,8.399,True,Client Services
Katherine,Female,11/14/1999,8:15 AM,57531.0,1.767,False,Client Services
Jonathan,Male,10-12-1987,2:59 AM,141069.0,4.903,False,Human Resources
Emily,Female,9/20/2007,11:25 AM,89434.0,11.295,False,Engineering
Ruth,Female,08-12-1986,7:29 PM,44639.0,9.148,True,Legal
Linda,Female,6/24/2006,12:04 PM,110967.0,19.612,True,Human Resources
Lisa,Female,11-02-2009,9:42 AM,115387.0,1.821,False,Client Services
Evelyn,Female,5/24/1980,11:10 PM,81673.0,15.364,True,Engineering
Julie,Female,7/23/1989,1:52 PM,109588.0,3.55,False,Engineering
Mary,Female,5/30/2009,11:41 PM,92544.0,3.8,False,Client Services
Matthew,Male,7/31/2013,8:04 AM,142373.0,2.462,False,Marketing
Douglas,Male,09-03-1999,4:00 PM,83341.0,1.015,True,Client Services
Gregory,Female,6/15/1992,5:08 AM,98865.0,10.628,True,Finance
Billy,Male,3/13/1995,12:05 PM,120444.0,7.768,True,Finance
Marilyn,Female,6/17/1991,12:49 PM,71945.0,5.56,True,Marketing
Gregory,Male,1/29/2000,6:01 AM,109564.0,3.845,False,Legal
Jason,Male,10/17/1999,10:09 PM,78417.0,3.067,False,Finance
Daniel,Male,4/30/2010,3:48 AM,106947.0,15.866,True,Legal
Sarah,Female,9/14/1995,7:50 AM,87298.0,2.311,False,Distribution
Harry,Male,10-01-2015,7:47 PM,64579.0,15.266,True,Sales
Kathy,Female,4/19/1995,12:46 AM,50905.0,9.404,True,Finance
Todd,Male,4/13/1999,10:31 AM,59728.0,11.226,True,Client Services
Bobby,Male,9/23/1994,1:29 AM,51685.0,17.445,True,Engineering
Jeremy,Male,06-08-2000,12:15 AM,49542.0,1.679,True,Distribution
George,Female,2/24/1988,11:29 AM,38375.0,8.999,False,Legal
Diane,Female,4/18/1993,3:22 AM,64084.0,17.018,False,Product
Marilyn,Female,04-04-1997,9:28 PM,147663.0,10.263,False,Human Resources
Kathryn,Female,02-04-2004,1:47 PM,73935.0,14.752,False,Sales
Irene,Female,02-04-1982,5:26 PM,40837.0,12.182,True,Client Services
Norma,Female,02-11-2015,11:44 PM,94393.0,3.643,True,Engineering
Laura,Female,04-02-2006,1:57 PM,42087.0,2.624,False,Product
Cheryl,Female,9/23/2008,2:57 AM,52080.0,9.375,False,Legal
Kevin,Male,3/25/1982,7:31 AM,35061.0,5.128,False,Legal
Lillian,Female,05-12-2016,3:43 PM,64164.0,17.612,False,Human Resources
Phyllis,Female,4/21/1984,7:05 PM,94088.0,19.107,False,Distribution
Walter,Male,07-06-1983,11:54 PM,127813.0,5.961,False,Finance
Robert,Male,10/27/1990,7:15 PM,38041.0,18.428,True,Engineering
Jimmy,Male,10-07-1986,5:53 PM,126310.0,5.413,True,Product
Clarence,Male,10-08-1996,12:53 PM,142561.0,8.866,False,Client Services
Victor,Male,04-11-1991,7:44 AM,70817.0,17.138,False,Engineering
Fred,Female,12-02-1984,2:03 PM,59937.0,12.045,True,Human Resources
Brenda,Female,7/27/2010,11:07 PM,106115.0,3.742,True,Product
Justin,Male,12-06-1992,5:58 PM,82782.0,4.366,True,Distribution
Betty,Female,06-12-2002,3:59 AM,104896.0,19.55,True,Business Development
Randy,Female,02-06-1986,3:04 PM,133943.0,8.94,True,Sales
Sharon,Female,03-01-1990,3:46 AM,83658.0,6.513,False,Business Development
Ralph,Male,11-11-2004,1:35 AM,71896.0,4.232,True,Marketing
Marilyn,Female,4/28/2003,3:01 AM,113732.0,10.391,True,Sales
Edward,Male,5/27/1985,10:13 PM,110485.0,7.995,False,Client Services
Denise,Female,3/20/2009,7:57 AM,115118.0,5.108,False,Human Resources
Debra,Female,3/13/1998,11:16 PM,48696.0,4.75,False,Legal
Marilyn,Male,11/25/1999,6:16 AM,42676.0,15.517,True,Sales
Michael,Male,1/24/2002,3:04 AM,43586.0,12.659,False,Client Services
Henry,Male,02-06-1995,8:34 AM,89258.0,15.585,True,Human Resources
Gloria,Female,3/27/2007,1:44 AM,90730.0,2.491,False,Distribution
Marie,Female,08-06-1995,1:58 PM,100308.0,13.677,False,Product
Anne,Female,7/16/1986,2:08 PM,69134.0,3.723,True,Engineering
Sarah,Female,11/21/1985,1:08 PM,58295.0,14.603,True,Engineering
Stephanie,Female,3/24/1983,11:15 AM,50141.0,13.218,True,Human Resources
Roy,Male,9/23/2004,1:31 PM,101941.0,3.45,False,Client Services
Marilyn,Female,08-05-2009,8:14 AM,115145.0,14.063,True,Distribution
Marilyn,Male,02-04-2005,1:01 PM,40451.0,16.044,True,Distribution
Irene,Female,03-03-1982,8:26 AM,56526.0,5.81,True,Finance
Marilyn,Female,08-02-1992,8:35 PM,145316.0,18.517,True,Human Resources
Thomas,Male,04-06-2011,1:04 PM,103235.0,9.554,True,Human Resources
Frank,Female,11/20/2001,10:18 AM,58563.0,12.062,True,Marketing
Fred,Male,2/20/1980,2:25 AM,74129.0,18.225,False,Product
Nicholas,Male,04-12-1994,8:21 PM,74669.0,1.113,True,Product
Howard,Male,10-05-1982,7:22 AM,97490.0,5.46,True,Marketing
Debra,Female,2/22/1994,10:25 PM,104250.0,18.456,True,Business Development
Christine,Female,07-03-1989,4:01 AM,94345.0,11.996,False,Finance
Brenda,Female,5/29/1991,6:32 AM,82439.0,19.062,False,Sales
Betty,Female,6/28/2005,6:03 PM,51613.0,12.984,False,Distribution
Ruby,Female,11-08-2000,7:35 PM,105946.0,1.139,False,Business Development
Kevin,Male,07-12-1997,2:07 AM,46080.0,9.635,False,Business Development
Arthur,Male,01-01-2014,7:46 PM,134610.0,6.147,True,Human Resources
Carl,Female,02-07-2014,3:57 AM,125104.0,12.345,False,Client Services
Todd,Male,03-11-2009,3:43 AM,107281.0,1.612,True,Engineering
Brenda,Female,10-06-2005,9:33 PM,141521.0,4.337,False,Client Services
Judy,Female,9/16/1997,12:10 AM,65931.0,2.304,False,Human Resources
Todd,Male,02-02-1984,10:13 AM,69989.0,10.985,True,Finance
Lois,Female,11-09-2011,7:06 AM,147183.0,9.999,True,Client Services
Walter,Female,12/21/1999,10:33 PM,66757.0,18.099,False,Distribution
Jessica,Female,9/27/1985,1:35 PM,75145.0,6.388,True,Legal
Jeremy,Male,6/14/1988,6:20 PM,129460.0,13.657,True,Client Services
Tammy,Female,11-11-1984,10:30 AM,132839.0,17.463,True,Client Services
Anne,Female,03-07-2000,6:45 AM,44537.0,18.284,True,Client Services
Jesse,Male,10/25/1999,3:35 PM,118733.0,9.653,False,Marketing
Virginia,Female,10/20/1999,6:23 AM,46905.0,19.154,False,Distribution
Jesse,Male,03-02-1981,7:26 PM,79582.0,3.873,False,Legal
Jeremy,Female,11-10-1996,1:49 PM,55394.0,3.18,True,Sales
Daniel,Male,9/15/2007,10:16 PM,123811.0,7.664,True,Human Resources
Patrick,Female,8/30/2004,11:43 AM,137314.0,4.542,True,Marketing
Emily,Female,1/13/1988,6:42 AM,36711.0,19.028,True,Human Resources
Alan,Male,6/26/1988,3:54 AM,111786.0,3.592,True,Engineering
James,Male,07-11-2015,8:52 PM,72257.0,13.023,False,Engineering
Adam,Male,07-05-2007,11:59 AM,71276.0,5.027,True,Human Resources
Joan,Female,7/25/1980,12:22 PM,38712.0,3.657,False,Client Services
Jeremy,Male,08-12-1981,12:05 AM,46930.0,18.702,True,Finance
Margaret,Female,02-06-1993,1:05 PM,125220.0,3.733,False,Marketing
Mark,Male,04-01-1984,1:21 PM,121477.0,17.44,True,Business Development
Marilyn,Female,9/26/1981,2:23 AM,86386.0,2.937,False,Distribution
Cheryl,Female,09-08-2009,10:16 AM,81308.0,2.196,True,Legal
Benjamin,Male,09-11-1984,6:37 AM,84810.0,15.794,False,Marketing
Harold,Male,2/20/1990,11:00 PM,66775.0,2.158,True,Legal
Ernest,Female,1/18/2002,1:51 AM,72145.0,13.448,True,Finance
Gerald,Male,4/16/2001,10:09 PM,121604.0,1.923,True,Sales
Judy,Female,07-01-1991,2:33 AM,109510.0,13.457,True,Legal
Bobby,Male,3/31/1996,5:40 PM,112117.0,6.338,False,Client Services
Bobby,Female,09-01-1995,2:09 PM,108127.0,15.858,False,Client Services
Marie,Female,10-03-2013,8:05 PM,123711.0,10.966,False,Product
Kathy,Female,12/18/2013,3:09 PM,132381.0,8.34,False,Business Development
Roy,Male,08-06-2006,7:52 AM,148225.0,1.841,False,Finance
Jacqueline,Female,11/25/1981,3:01 PM,145988.0,18.243,False,Marketing
Marilyn,Female,07-08-2008,11:40 PM,62960.0,14.356,True,Sales
Julie,Female,3/23/1986,9:26 AM,56926.0,7.507,False,Sales
Douglas,Male,01-08-2002,6:42 PM,41428.0,14.372,False,Product
Linda,Female,12/16/1990,2:20 AM,115658.0,3.041,True,Sales
Ruby,Female,12-10-1988,8:27 PM,76707.0,6.031,False,Business Development
Russell,Male,01-02-2005,1:48 AM,60388.0,17.885,False,Client Services
Jeffrey,Male,6/18/1997,8:01 PM,45150.0,12.075,True,Product
Aaron,Male,1/29/1994,6:48 PM,58755.0,5.097,True,Marketing
Samuel,Male,12/19/1991,2:54 AM,76076.0,5.319,True,Finance
Marilyn,Male,1/27/2010,2:57 AM,87760.0,14.987,True,Engineering
Randy,Male,3/16/2014,6:24 PM,135119.0,7.887,False,Client Services
Evelyn,Female,09-03-1983,1:58 PM,36759.0,17.269,True,Marketing
Fred,Male,2/13/1987,2:15 PM,121723.0,18.645,True,Product
Shirley,Female,06-08-1986,2:25 AM,110061.0,7.494,False,Client Services
Todd,Male,5/23/2011,4:14 PM,85074.0,1.844,False,Client Services
Robert,Male,11/18/2014,5:00 AM,85799.0,19.93,False,Finance
Mark,Male,1/22/2007,2:37 PM,75150.0,12.182,True,Legal
Earl,Male,01-05-2000,5:46 PM,91344.0,4.035,True,Sales
Richard,Male,9/27/2005,1:41 AM,86326.0,10.717,False,Product
Michael,Male,11/22/1991,12:57 PM,98753.0,16.443,True,Human Resources
Steven,Male,05-12-2009,2:14 PM,113060.0,2.846,True,Sales
Carlos,Male,9/19/2007,1:01 AM,77327.0,11.58,True,Finance
Marie,Female,10/20/2011,10:09 PM,62666.0,10.247,False,Product
Ronald,Male,2/24/2009,2:09 PM,96633.0,4.99,True,Engineering
Scott,Male,05-12-2009,4:36 AM,58248.0,3.914,False,Business Development
Steven,Male,11/21/2006,8:30 AM,83706.0,6.96,True,Human Resources
James,Male,11/22/1998,3:48 AM,74086.0,5.778,True,Human Resources
Lori,Female,3/31/1988,10:59 PM,95389.0,14.223,False,Sales
Philip,Male,08-02-1989,11:21 AM,129968.0,19.897,False,Finance
Phyllis,Female,11/24/2005,11:57 PM,140347.0,8.723,False,Sales
Thomas,Female,8/31/1995,8:31 PM,41549.0,3.95,False,Sales
Cynthia,Female,12-03-2012,11:03 PM,74287.0,10.751,False,Sales
Marilyn,Male,10-09-2011,9:29 AM,69906.0,4.844,True,Engineering
Marilyn,Male,4/22/1997,9:36 PM,65078.0,3.095,True,Marketing
Elizabeth,Female,11-10-2005,4:56 AM,106406.0,1.782,True,Legal
Andrea,Female,9/14/2003,10:30 PM,115913.0,12.121,False,Legal
Judy,Female,02-01-1990,3:32 PM,38092.0,5.668,False,Distribution
Russell,Male,8/13/2014,3:51 PM,121160.0,7.843,False,Engineering
Scott,Male,12/17/2011,3:45 AM,90429.0,4.45,False,Product
Sarah,Female,5/22/1994,7:06 AM,64207.0,7.824,True,Client Services
Susan,Female,9/25/2004,1:30 AM,80688.0,18.892,True,Sales
Margaret,Female,05-05-2014,6:01 AM,55044.0,4.078,False,Sales
Joshua,Male,11-09-2009,6:32 AM,72893.0,9.555,False,Distribution
Justin,Female,4/15/2005,8:43 PM,96978.0,13.865,False,Finance
Juan,Male,4/16/2002,11:09 PM,97364.0,3.595,False,Product
Gloria,Female,7/19/1983,1:57 AM,140885.0,1.113,False,Human Resources
Jennifer,Female,1/24/1989,8:38 PM,58520.0,16.231,True,Client Services
Edward,Male,08-04-1989,6:06 AM,66067.0,10.957,True,Client Services
Marilyn,Female,12/17/1982,12:10 PM,147183.0,8.748,False,Business Development
Mary,Female,10/18/2009,6:32 PM,87721.0,12.484,False,Product
Linda,Female,7/15/2009,10:12 PM,144001.0,2.194,False,Business Development
Larry,Male,8/27/2003,1:00 PM,91133.0,5.14,False,Sales
Albert,Male,02-01-1997,4:20 PM,67827.0,19.717,True,Engineering
